user,method,equation,restrictions,opt_force_N,valid,invalid_reason,rmse_all_levels,rmse_fitted_samples,n_fitted_samples,max_push_force_N,coef_quad,coef_lin,coef_const,coef_exp_A,coef_exp_k,coef_exp_c
5,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",46.44814783508329,True,,5.522614549409849,5.522614549409849,4,172.04,-0.001767471380445442,-3.0327601216913492e-18,52.31319655324688,,,
6,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",79.8386536082644,True,,20.29340284193217,20.29340284193217,4,106.76,-0.00965464827446702,-7.873764583334611e-20,110.04076146673691,,,
7,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",61.36992622332949,True,,19.047242407269383,19.047242407269383,4,96.82,-0.008648599211579388,-2.2364940993290127e-16,81.07294111189653,,,
8,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",108.6445416149322,True,,10.986625025550689,10.986625025550689,4,209.39,-0.0015137075262567949,-1.1939484430174935e-22,66.36725329026818,,,
9,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",7.598850565221194,True,,1.9069251784911851,1.9069251784911851,4,246.76,-0.0011363636363636502,-0.14090909090908993,49.63636363636362,,,
10,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",63.00000000000167,True,,12.247448713916317,12.247448713916317,4,192.43999999999997,-2.6028590177881906e-15,-0.4999999999997994,79.99999999999852,,,
11,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",72.13228562735065,True,,13.754709662024773,13.754709662024773,4,109.79,-0.007079488453850773,-9.20754236854263e-18,85.33505013046728,,,
12,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",15.995265308498249,True,,36.32114362801985,36.32114362801985,4,66.77,-1.1387379450271131e-23,-0.9551994765640307,63.778669050180326,,,
13,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",,False,no crossing,4.767312946227962,4.767312946227962,4,201.9,-0.0034090909090909237,-0.02272727272727233,40.90909090909096,,,
14,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",51.71216430013007,True,,11.4072133949877,11.4072133949877,4,89.87,-0.008977376886124608,-6.048948065725904e-22,72.50683387614339,,,
15,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",78.06233927803673,True,,8.520090607380208,8.520090607380208,4,230.66,-0.005166374781085826,-1.8323092702299142e-19,79.9824868651489,,,
16,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",92.55972854874821,True,,8.664660341112041,8.664660341112041,4,189.39,-4.677958837883252e-17,-0.5008764229729085,94.86098574684081,,,
17,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",110.25421598626006,True,,14.73331216702042,14.73331216702042,4,191.56000000000003,-0.0007299028816646542,-0.37621846117758095,98.8523651711738,,,
18,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",78.41628692573332,True,,2.7877481243698363,2.7877481243698363,4,141.85,-0.0034711515417565585,-4.894405097459716e-16,69.84450673321017,,,
19,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",107.05043209335423,True,,12.54515192890287,12.54515192890287,4,244.26,-0.0010061582571975582,-7.004099431077626e-20,60.03036737648518,,,
20,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",18.83734881156564,True,,9.021707306729043,9.021707306729043,4,161.18,-3.321670567443377e-17,-0.3407271088115006,54.91839539823853,,,
21,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",64.57900402207447,True,,6.811301508480167,6.811301508480167,4,149.61,-0.001673327682270143,-0.21197185158649806,69.16745674124894,,,
22,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",69.8718214732525,True,,20.095444901250577,20.095444901250577,4,141.23,-0.003219630272654869,-2.4744107360304787e-19,64.21846498857725,,,
23,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",68.35290023680531,True,,4.389527942342922,4.389527942342922,4,138.16,-0.0033643018756381194,-1.423193461047088e-19,64.21841861660855,,,
24,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",106.36655660605943,True,,6.364746285243223,6.364746285243223,4,190.99,-0.0019274074196393891,-4.175098751249378e-24,70.30638757226228,,,
25,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",118.60982147638713,True,,9.99266398131402,9.99266398131402,4,247.73,-0.001025329591075325,-4.1992922403331375e-20,62.92463377717384,,,
26,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",,False,no crossing,4.622339723387201,4.622339723387201,4,146.79,-0.0030647985989465305,-2.2683030195389406e-13,33.88791593695514,,,
27,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",73.74999999999999,True,,3.1622776601683795,3.1622776601683795,4,225.4,-4.008284336726791e-26,-0.4,78.0,,,
28,Quadratic-MaxForce,y = a·x² + b·x + c,"a ≤ 0, b ≤ 0, plus the end-point restriction y(F_max) ≤ 0: performance must be exhausted by the force the user can actually produce. The curve is otherwise fitted freely — it is only pulled where it would still be positive at F_max",107.45497395919568,True,,4.622339723385634,4.622339723385634,4,250.92,-0.0030647985989492132,-7.705575414691606e-24,83.88791593695271,,,
